,130A,8A,92A,11A,38A,37A,48A,100A,77A,4A,143F,143E,120A,107A,44A,33A,7A,6A,69A,73A,26A,70A,119A,57A,129A,13A,91A,87A,27A,82A,9A,89A,83A,86A,53A
izi,0,0,1,0,-1,1,0,0,0,0,1,1,0,0,0,-1,0,0,1,0,1,0,0,-1,0,0,0,0,0,1,0,0,-1,-1,0
idn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
rpa,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0
eno,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,0,-1,-1,0
uli,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,-1,0,1,0,1,-1,1,0
nyk,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,-1,1,0,0
nhh,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,-1,0,-1,0,1,-1,-1,0
slo,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,-1,1,1,0,0,0,0,0,1,0,1,0,1,-1,0,1
djm,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
plg,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,-1,-1,0
tsk,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-1,0,-1,0,1,-1,-1,0
sta,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0
wed,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-1,0,1,0,0,1,1,0
bch,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,-1,-1,0
xbi,0,0,-1,0,1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
nab,0,0,-1,0,1,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,1,1,-1,1,1,0
msq,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,-1,-1,0
baf,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
mwo,0,0,-1,0,-1,-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,-1,0,1,0,0,0,-1,0,1,0,-1,-1,0,0
src,0,0,-1,0,-1,-1,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,1,1,1,0
sil,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,-1,0
grs,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
agc,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,-1,0,1,-1,-1,0
mnt,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0
min,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,1,0,0,1,0,-1,0
gok,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,-1,0,0,1,0,0,1,1,0,1,0,1,-1,-1,0
miy,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,-1,0,1,1,0,1,0,0,0,-1,1,0,0,-1,-1,-1,0
kop,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0
mkj,0,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,-1,0,0,1,-1,0,1,0,0,1,0,0
kms,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1
amn,0,0,1,0,-1,-1,0,0,0,0,1,1,0,0,0,-1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,1,0,1,1,0
url,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,-1,0,0,-1,0,-1,-1,0,-1,0,0,-1,-1,0,1,0,0,-1,-1,0
bvi,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
lgu,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,1,0,0,0,-1,0,-1,0,1,-1,-1,0
mxj,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,-1,0,1,-1,0,0
tbo,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,-1,0,-1,0,1,-1,-1,0
joh,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
rag,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
ngd,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,-1,0,1,0,0,-1,-1,0
kre,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,1,0,1,0,1,-1,-1,0
msk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0
yi,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
ywr,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,-1,0
tnc,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,-1,-1,1,0,0,1,1,0
dhw,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pnu,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,1,0,1,-1,1,0
bmz,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cea,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
bbw,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-1,0,0,1,0,0,1,1,0
nyn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0
tsn,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wak,0,0,-1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,1,0,1,0,1,1,1,0
erk,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
huc,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,1,0
hoa,0,0,-1,0,1,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,-1,-1,0,-1,0,1,-1,-1,0
mkg,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
nev,0,0,1,0,1,0,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,-1,1,1,1,0
stn,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,-1,0
akh,0,0,1,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
skw,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mbi,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,-1,0,0
lou,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,0,-1,0,0,1,0,0,0,-1,0,1,0,0,-1,-1,0
baq,0,0,0,0,0,1,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,-1,0,1,-1,-1,0
aml,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
ghr,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,0,0
gel,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,-1,-1,0
omi,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,1,1,0
kwn,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
hal,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,1,1,1,-1,-1,0
gug,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,0,1,0,0
rov,0,0,-1,0,1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1,-1,-1,0
mri,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0
kuo,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,1,-1,1,-1,1,1,-1,-1,1
nag,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
adg,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-1,0,0,-1,0,-1,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0
mhu,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,0
blt,0,0,-1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,-1,1,0,0
thy,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,-1,0,0,-1,0,0,0,-1,0,1,0,-1,1,-1,0
nkk,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0
mkz,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
hya,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
mbl,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0
leb,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
bsh,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,-1,-1,0,1,0,0,-1,0,0
agb,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
luc,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
lng,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
mke,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,1,1,0
kgr,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0
nam,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,1,0,0,-1,0,0,-1,-1,0,1,-1,-1,1,1,0
amt,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0
sgu,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
kll,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,1,0
nwd,0,0,1,0,1,1,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,1,1,0,1,0,0,1,1,0
tal,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
tig,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
klg,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0
obo,0,0,1,0,1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,1,-1,1,1,0,-1,0,0,-1,0,0,1,0,-1,-1,-1,0
bia,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,0,0,-1,-1,0
kin,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
psw,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
taj,0,0,1,0,1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,1,1,-1,0
png,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
mdn,0,0,-1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,-1,0,1,0,-1,1,1,0
yao,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0
mua,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
sar,0,0,-1,0,-1,-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
biu,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,0
kbw,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,-1,0,0,-1,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,1,0
nse,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
tet,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,-1,-1,-1,0
mag,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
ldo,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
eny,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgc,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0
leg,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
qia,0,0,-1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,-1,0,0,0,-1,0,1,0
toz,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
kil,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,0
kik,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,1,1,0,0,-1,-1,0
rim,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
knz,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
bel,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0
pre,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
udi,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,-1,0,0,0,1,0,1,-1,1,1,0,0
xho,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,1,1,0,-1,-1,-1,0
bgn,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
she,0,0,1,0,0,0,0,0,1,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
lmp,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,-1,1,1,0,1,-1,-1,0
tbw,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
sod,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,-1,0,1,1,0
kma,0,0,-1,0,-1,-1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,1,1,0,1,1,1,0
ork,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,1,1,1,1,0
heh,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
nto,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
cpl,0,0,-1,0,-1,0,0,0,0,0,-1,1,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,1,-1,0,-1,0,1,-1,-1,0
tdr,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0
eme,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,1,1,1,0
dhi,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
kyz,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,0,1,1,1,0
shg,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0
mxe,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
dul,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,1,1,0
tts,0,0,0,0,1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
kgy,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
khd,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
ngo,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
ngt,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-1,-1,0,1,0,-1,1,1,0
srb,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
wme,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0
nph,0,0,-1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
sgl,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,0
sul,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,1,1,-1,-1,0,0
brl,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0
mmw,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,0,0
gur,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,1,1,0,1,0,-1,1,1,0
dhm,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
kga,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
sak,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
tod,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
lgi,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
bku,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
mmv,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,0,1
bbl,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
rnd,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
shm,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,0,-1,0,0
nyh,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0
pga,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,-1,0,0,-1,-1,0
cga,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
deg,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0
thn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
mug,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ma,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,-1,-1,-1,0
mkd,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
ndb,0,0,1,0,-1,-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,1,1,0,0,-1,-1,0
lbu,0,0,-1,0,-1,-1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
bol,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0
swt,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0
ori,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,-1,0
lot,0,0,-1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,-1,0,1,0,-1,1,1,0
